Fecha,SP500_close,entry_type,Rotura High Prematura,Rotura Low Prematura,target_profit_outside_range,profit_points_outside_range,target_profit_mfe_time,stop_out_outside_range,lost_outside_range,stop_out_time,mfe_time,rango_apertura,subrango_apertura,MFE_desde_entrada,MAE_desde_entrada
2015-01-02,2471.75,Short,,2015-01-02 16:35:00+01:00,True,14.75,2015-01-02 19:35:00+01:00,False,11.75,,2015-01-02 19:35:00+01:00,11.5,10.0,16.0,3.25
2015-01-05,2442.75,Short,,2015-01-05 16:35:00+01:00,True,15.25,2015-01-05 21:05:00+01:00,False,15.0,,2015-01-05 21:05:00+01:00,15.0,12.0,16.0,3.0
2015-01-06,2419.5,Short,,2015-01-06 16:45:00+01:00,True,27.25,2015-01-06 19:30:00+01:00,False,9.25,,2015-01-06 19:30:00+01:00,10.75,7.5,30.0,4.5
2015-01-07,2445.0,Short,2015-01-07 18:00:00+01:00,2015-01-07 16:40:00+01:00,True,0.5,2015-01-07 17:30:00+01:00,True,9.25,2015-01-07 18:00:00+01:00,2015-01-07 17:30:00+01:00,10.75,7.25,4.25,14.75
2015-01-08,2477.75,Long,2015-01-08 16:45:00+01:00,,True,8.5,2015-01-08 20:45:00+01:00,False,13.5,,2015-01-08 20:45:00+01:00,13.75,12.25,9.75,2.0
2015-01-09,2459.25,Short,,2015-01-09 16:35:00+01:00,True,8.75,2015-01-09 17:25:00+01:00,False,21.75,,2015-01-09 17:25:00+01:00,18.5,17.0,8.0,7.75
2015-01-12,2448.25,Short,,2015-01-12 20:40:00+01:00,False,,2015-01-12 21:40:00+01:00,False,25.5,,2015-01-12 21:40:00+01:00,27.0,22.0,1.0,9.75
2015-01-13,2443.25,Short,,2015-01-13 18:25:00+01:00,True,34.25,2015-01-13 20:15:00+01:00,False,17.0,,2015-01-13 20:15:00+01:00,14.5,12.25,33.75,4.5
2015-01-14,2435.0,Short,2015-01-14 22:05:00+01:00,2015-01-14 18:10:00+01:00,True,7.75,2015-01-14 19:50:00+01:00,True,15.25,2015-01-14 22:10:00+01:00,2015-01-14 19:50:00+01:00,16.75,12.75,10.5,19.25
2015-01-15,2408.25,Short,,2015-01-15 17:30:00+01:00,True,7.5,2015-01-15 22:55:00+01:00,False,23.0,,2015-01-15 22:55:00+01:00,24.75,18.25,9.5,7.0
2015-01-16,2437.5,Long,2015-01-16 16:35:00+01:00,,True,19.0,2015-01-16 22:00:00+01:00,False,12.25,,2015-01-16 22:00:00+01:00,13.25,10.5,20.75,4.25
2015-01-19,2433.0,Short,,2015-01-19 16:50:00+01:00,True,6.75,2015-01-19 18:35:00+01:00,False,5.25,,2015-01-19 18:35:00+01:00,5.5,3.5,7.5,2.25
2015-01-20,2440.0,Short,,2015-01-20 16:40:00+01:00,True,4.75,2015-01-20 17:50:00+01:00,False,18.75,,2015-01-20 17:50:00+01:00,19.75,16.75,7.0,15.25
2015-01-21,2451.25,Long,2015-01-21 16:45:00+01:00,,True,6.0,2015-01-21 17:05:00+01:00,False,17.25,,2015-01-21 17:05:00+01:00,19.0,14.75,10.25,6.25
2015-01-22,2482.25,Long,2015-01-22 16:45:00+01:00,,True,17.75,2015-01-22 21:25:00+01:00,False,20.75,,2015-01-22 21:25:00+01:00,21.75,13.75,19.25,3.75
2015-01-23,2467.75,Short,2015-01-23 17:30:00+01:00,2015-01-23 16:45:00+01:00,True,5.5,2015-01-23 22:45:00+01:00,True,6.75,2015-01-23 18:15:00+01:00,2015-01-23 22:45:00+01:00,6.75,4.25,5.75,8.75
2015-01-26,2478.75,Long,2015-01-26 16:45:00+01:00,,True,10.0,2015-01-26 22:35:00+01:00,False,10.0,,2015-01-26 22:35:00+01:00,9.75,7.75,10.5,2.75
2015-01-27,2462.25,Short,2015-01-27 19:20:00+01:00,2015-01-27 16:35:00+01:00,True,7.0,2015-01-27 16:50:00+01:00,True,10.5,2015-01-27 19:20:00+01:00,2015-01-27 16:50:00+01:00,8.25,6.25,6.0,19.75
2015-01-28,2419.0,Short,,2015-01-28 16:35:00+01:00,True,38.5,2015-01-28 22:10:00+01:00,False,12.5,,2015-01-28 22:10:00+01:00,9.0,7.5,35.0,5.75
2015-01-29,2443.25,Short,2015-01-29 19:30:00+01:00,2015-01-29 16:45:00+01:00,True,1.25,2015-01-29 16:50:00+01:00,True,17.0,2015-01-29 19:40:00+01:00,2015-01-29 16:50:00+01:00,15.75,11.0,2.25,35.75
2015-01-30,2413.75,Short,2015-01-30 20:20:00+01:00,2015-01-30 16:35:00+01:00,True,9.5,2015-01-30 22:00:00+01:00,True,15.0,2015-01-30 20:25:00+01:00,2015-01-30 22:00:00+01:00,14.25,9.0,11.25,19.75
2015-02-02,2440.0,Long,2015-02-02 17:30:00+01:00,,True,19.5,2015-02-02 22:10:00+01:00,False,23.75,,2015-02-02 22:10:00+01:00,24.25,19.25,21.0,14.0
2015-02-03,2466.0,Short,2015-02-03 19:30:00+01:00,2015-02-03 17:00:00+01:00,True,0.75,2015-02-03 18:05:00+01:00,True,11.5,2015-02-03 19:25:00+01:00,2015-02-03 18:05:00+01:00,10.75,8.25,2.0,21.0
2015-02-04,2449.5,Long,2015-02-04 16:45:00+01:00,2015-02-04 21:50:00+01:00,True,6.0,2015-02-04 21:35:00+01:00,True,8.75,2015-02-04 21:50:00+01:00,2015-02-04 21:35:00+01:00,10.5,5.0,8.25,18.25
2015-02-05,2481.25,Long,2015-02-05 16:40:00+01:00,,True,5.5,2015-02-05 21:45:00+01:00,False,9.75,,2015-02-05 21:45:00+01:00,9.75,7.0,6.0,4.25
2015-02-06,2479.5,Long,2015-02-06 16:45:00+01:00,2015-02-06 19:20:00+01:00,True,2.0,2015-02-06 16:50:00+01:00,True,11.0,2015-02-06 19:30:00+01:00,2015-02-06 16:50:00+01:00,9.25,6.25,1.0,22.5
2015-02-09,2467.25,Long,2015-02-09 17:30:00+01:00,2015-02-09 20:20:00+01:00,False,,2015-02-09 18:35:00+01:00,True,7.75,2015-02-09 20:20:00+01:00,2015-02-09 18:35:00+01:00,9.25,6.5,1.75,13.5
